Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
KVUE,"Kenvue Inc",20.08,-0.03,-0.15%,20.33,20.02,27974898,2023-09-29
PCG,"Pacific Gas & Electric Company",16.13,-0.15,-0.92%,16.52,16.01,26985400,2023-09-29
MULN,"Mullen Automotive Inc",0.454,0.0105,+2.37%,0.46,0.4375,26697301,2023-09-29
WBA,"Walgreens Boots Alliance",22.24,1.34,+6.41%,22.43,20.88,25663301,2023-09-29
META,"Meta Platforms Inc",300.21,-3.75,-1.23%,310.64,299.36,25373600,2023-09-29
MU,"Micron Technology",68.03,2.83,+4.34%,68.73,66.36,24315500,2023-09-29
MSFT,"Microsoft Corp",315.75,2.11,+0.67%,319.47,314.98,24147199,2023-09-29
GOOG,"Alphabet Cl C",131.85,-1.28,-0.96%,134.89,131.32,23237299,2023-09-29
SIRI,"Sirius XM Holdings",4.52,-0.16,-3.42%,4.83,4.47,22048000,2023-09-29
DNA,"Ginkgo Bioworks Hldgs Inc",1.81,0.09,+5.23%,1.87,1.78,21340500,2023-09-29
SNAP,"Snap Inc",8.91,0.35,+4.09%,8.93,8.67,21165500,2023-09-29
HBI,"Hanesbrands Inc",3.96,0.36,+10.00%,3.99,3.67,20703900,2023-09-29
MARA,"Marathon Digital Hldgs Inc",8.5,-0.07,-0.82%,8.88,8.39,20212600,2023-09-29
VZ,"Verizon Communications Inc",32.41,-0.14,-0.43%,32.75,32.37,19787500,2023-09-29
NOK,"Nokia Corp ADR",3.74,0.02,+0.54%,3.81,3.74,19342301,2023-09-29
WBD,"Discovery Inc Series A",10.86,0.17,+1.59%,11.07,10.77,19127000,2023-09-29
LIFW,"Msp Recovery Inc",0.2148,-0.0036,-1.65%,0.23,0.2045,19072900,2023-09-29
NEE,"Nextera Energy",57.29,0.21,+0.37%,58.76,56.98,19047602,2023-09-29
XOM,"Exxon Mobil Corp",117.58,-1.89,-1.58%,119.18,116.73,18813500,2023-09-29
WKHS,"Workhorse Grp",0.4144,0.0004,+0.10%,0.4495,0.4142,18611199,2023-09-29
PLUG,"Plug Power Inc",7.6,0.03,+0.40%,7.95,7.47,18358301,2023-09-29
AMC,"Amc Entertainment Holdings",7.99,0.2,+2.57%,8.31,7.84,17752299,2023-09-29
AFRM,"Affirm Holdings Inc Cl A",21.27,0.42,+2.01%,22.52,21.19,17608500,2023-09-29
ROIV,"Roivant Sciences Ltd",11.68,-0.87,-6.93%,12,11.51,17250600,2023-09-29
AWIN,"Aerwins Technologies Inc",0.1208,0.0044,+3.78%,0.1233,0.108,17161000,2023-09-29
C,"Citigroup Inc",41.13,-0.07,-0.17%,41.89,40.92,16916100,2023-09-29
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",14.99,0.15,+1.01%,15.14,14.94,16903900,2023-09-29
BTE,"Baytex Energy Corp",4.41,0.1,+2.32%,4.49,4.34,16883500,2023-09-29
JBLU,"Jetblue Airways Cp",4.6,0.04,+0.88%,4.7,4.53,16363000,2023-09-29
GOLD,"Barrick Gold Corp",14.55,-0.01,-0.07%,14.85,14.4,16354699,2023-09-29
GOEV,"Canoo Inc",0.49,0.0055,+1.14%,0.4969,0.475,15919700,2023-09-29
KEY,Keycorp,10.76,0.24,+2.28%,11.01,10.65,15781899,2023-09-29
PTON,"Peloton Interactive Inc",5.05,0.15,+3.06%,5.24,4.97,15612700,2023-09-29
TLRY,"Tilray Brands Inc",2.39,0.04,+1.70%,2.42,2.33,15597600,2023-09-29
GRAB,"Grab Holdings Ltd Cl A",3.54,0.07,+2.02%,3.59,3.52,15580199,2023-09-29
SWN,"Southwestern Energy Company",6.45,-0.07,-1.07%,6.55,6.42,15545301,2023-09-29
NU,"Nu Holdings Ltd Cl A",7.25,-0.04,-0.55%,7.39,7.17,15543200,2023-09-29
ITUB,"Itau Unibanco Banco Holding S.A. ADR",5.37,0.02,+0.37%,5.43,5.35,15345600,2023-09-29
ABEV,"Ambev S.A. ADR",2.58,0.02,+0.78%,2.61,2.57,15264399,2023-09-29
CMCSA,"Comcast Corp A",44.34,-0.52,-1.16%,45.09,43.99,15136899,2023-09-29
CSX,"CSX Corp",30.75,0.18,+0.59%,31.17,30.7,15052300,2023-09-29
FTCH,"Farfetch Ltd Cl A",2.09,0.13,+6.63%,2.17,2,14779500,2023-09-29
ET,"Energy Transfer LP",14.03,0.01,+0.07%,14.05,13.92,14724199,2023-09-29
RIOT,"Riot Platforms Inc",9.33,-0.1,-1.06%,9.62,9.21,14715101,2023-09-29
KMI,"Kinder Morgan",16.58,-0.09,-0.54%,16.76,16.53,14575200,2023-09-29
MPW,"Medical Properties Trust",5.45,0.22,+4.21%,5.53,5.2,14515900,2023-09-29
BB,"Blackberry Ltd",4.71,-0.05,-1.05%,4.9,4.56,14370300,2023-09-29
UBER,"Uber Technologies Inc",45.99,-0.15,-0.33%,46.92,45.85,14247000,2023-09-29
CSCO,"Cisco Systems Inc",53.76,-0.12,-0.22%,54.2,53.5,13951200,2023-09-29
IONQ,"Ionq Inc",14.88,-0.51,-3.31%,15.88,14.59,13846200,2023-09-29
SHOP,"Shopify Inc",54.57,1.37,+2.58%,55.59,54.1,13705200,2023-09-29
GM,"General Motors Company",32.97,-0.19,-0.57%,33.42,32.76,13587801,2023-09-29
VALE,"Vale S.A. ADR",13.4,0.17,+1.28%,13.51,13.33,13516100,2023-09-29
OPEN,"Opendoor Technologies Inc",2.64,0.03,+1.15%,2.9,2.63,13326101,2023-09-29
WFC,"Wells Fargo & Company",40.86,-0.05,-0.12%,41.39,40.58,13124400,2023-09-29
SOUN,"Soundhound Ai Inc Cl A",2.01,0.12,+6.35%,2.11,1.94,12993999,2023-09-29
HBAN,"Huntington Bcshs",10.4,0.19,+1.86%,10.52,10.27,12991200,2023-09-29
LUMN,"Lumen Technologies Inc",1.42,-0.01,-0.70%,1.49,1.415,12842300,2023-09-29
RIG,"Transocean Inc",8.21,-0.21,-2.49%,8.53,8.18,12820601,2023-09-29
CVE,"Cenovus Energy Inc",20.82,-0.29,-1.37%,21.24,20.78,12617000,2023-09-29
HPQ,"Hp Inc",25.7,0.13,+0.51%,26.17,25.67,12472601,2023-09-29
KO,"Coca-Cola Company",55.98,0.17,+0.30%,56.27,55.62,12271500,2023-09-29
RUN,"Sunrun Inc",12.56,0.26,+2.11%,13.1,12.22,12188700,2023-09-29
MNTS,"Momentus Inc",2,0.7,+53.85%,2.47,1.34,12051900,2023-09-29
SQ,"Block Inc",44.26,-0.09,-0.20%,45.63,44.21,11965199,2023-09-29
XPEV,"Xpeng Inc ADR",18.36,1.14,+6.62%,18.46,17.81,11964601,2023-09-29
JPM,"JP Morgan Chase & Company",145.02,-2.57,-1.74%,148.76,144.86,11917800,2023-09-29
AGNC,"Agnc Investment Corp",9.44,0.04,+0.43%,9.59,9.42,11899600,2023-09-29
KGC,"Kinross Gold Corp",4.56,-0.03,-0.65%,4.74,4.5,11693000,2023-09-29
BSX,"Boston Scientific Corp",52.8,-0.57,-1.07%,53.46,52.69,11501600,2023-09-29
EJH,"E-Home Household Service Holdings Ltd",1.09,0.08,+7.92%,1.2,1.03,11423700,2023-09-29
MRO,"Marathon Oil Corp",26.75,-0.66,-2.41%,27.53,26.69,11361999,2023-09-29
SLB,"Schlumberger N.V.",58.3,-2.64,-4.33%,60.84,58.2,11279200,2023-09-29
DIS,"Walt Disney Company",81.05,0.92,+1.15%,81.33,80.41,11261301,2023-09-29
RBLX,"Roblox Corp Cl A",28.96,1.13,+4.06%,29.09,28.28,11191700,2023-09-29
M,"Macy's Inc",11.61,0.17,+1.49%,11.82,11.51,11119801,2023-09-29
USB,"U.S. Bancorp",33.06,0.59,+1.82%,33.52,32.55,10981301,2023-09-29
BMY,"Bristol-Myers Squibb Company",58.04,-0.1,-0.17%,58.46,57.87,10902500,2023-09-29
CHPT,"Chargepoint Hldgs Inc",4.97,-0.01,-0.20%,5.18,4.88,10870500,2023-09-29
TRTN,"Triton International Ltd",79.55,-3.4,-4.10%,83.03,79.01,10814001,2023-09-27
BBD,"Banco Bradesco S.A. ADR",2.85,0.02,+0.71%,2.88,2.83,10733101,2023-09-29
PYPL,"Paypal Holdings",58.46,0.28,+0.48%,59.33,58.07,10550300,2023-09-29
FSR,"Fisker Inc",6.42,0.02,+0.31%,6.67,6.28,10251600,2023-09-29
HPE,"Hewlett Packard Enterprise Comp",17.37,-0.26,-1.47%,17.73,17.26,10205900,2023-09-29
FCX,"Freeport-Mcmoran Inc",37.29,-0.04,-0.11%,38.22,37.02,10169300,2023-09-29
OXY,"Occidental Petroleum Corp",64.88,-1,-1.52%,66.05,64.81,10063300,2023-09-29
GPCR,"Structure Therapeutics Inc",50.42,12.95,+34.56%,65.51,48.55,9971101,2023-09-29
SE,"Sea Ltd ADR",43.95,0.83,+1.92%,44.96,43.54,9964000,2023-09-29
SNDX,"Syndax Pharma",14.52,-1.11,-7.10%,16.77,12.85,9918600,2023-09-29
FUBO,"Fubotv Inc",2.67,0.06,+2.30%,2.7,2.61,9833500,2023-09-29
HST,"Host Marriott Financial Trust",16.07,-0.35,-2.13%,16.63,15.99,9785101,2023-09-29
NMR,"Nomura Holdings Inc ADR",4.02,-0.12,-2.90%,4.07,4,9726200,2023-09-29
CRH,"CRH Plc ADR",54.73,-1.45,-2.58%,56.56,54.12,9660400,2023-09-29
AQN,"Algonquin Pwr & Util",5.92,-0.13,-2.15%,6.19,5.86,9656500,2023-09-29
BABA,"Alibaba Group Holding ADR",86.74,1.2,+1.40%,87.95,86.61,9654800,2023-09-29
INFY,"Infosys Ltd ADR",17.11,0.15,+0.88%,17.29,17.05,9560000,2023-09-29
NEP,"Nextera Energy Partners LP",29.7,-0.84,-2.75%,32.28,29.02,9535300,2023-09-29
ERIC,"Ericsson ADR",4.86,0.07,+1.46%,4.91,4.84,9531300,2023-09-29
NEM,"Newmont Mining Corp",36.95,-0.08,-0.22%,37.81,36.75,9465300,2023-09-29
JD,"Jd.com Inc ADR",29.13,0.58,+2.03%,29.55,28.93,9443801,2023-09-29
CLF,"Cleveland-Cliffs Inc",15.63,0.22,+1.43%,15.74,15.37,9435300,2023-09-29
AES,"The Aes Corp",15.2,0.32,+2.15%,15.44,15.02,9409500,2023-09-29
VICI,"Vici Properties Inc",29.1,-0.37,-1.26%,29.73,28.97,9368500,2023-09-29
PINS,"Pinterest Inc",27.03,0.54,+2.04%,27.1,26.7,9241900,2023-09-29
STLA,"Stellantis N.V.",19.13,-0.14,-0.73%,19.48,19.06,9225500,2023-09-29
VFC,"V.F. Corp",17.67,1.08,+6.51%,17.77,16.95,9165500,2023-09-29
CHS,"Chico's Fas",7.48,-0.04,-0.53%,7.52,7.47,8958899,2023-09-29
DVN,"Devon Energy Corp",47.7,-1.11,-2.27%,49.04,47.6,8856800,2023-09-29
DKNG,"Draftkings Inc",29.44,0.51,+1.76%,29.95,29.18,8845900,2023-09-29
ACB,"Aurora Cannabis Inc",0.585,-0.0116,-1.94%,0.6145,0.575,8807600,2023-09-29
RF,"Regions Financial Corp",17.2,0.16,+0.94%,17.52,17.13,8740000,2023-09-29
CLSK,"Cleanspark Inc",3.81,-0.05,-1.30%,3.99,3.79,8620300,2023-09-29
ATVI,"Activision Blizzard",93.63,0.09,+0.10%,93.89,93.45,8616800,2023-09-29
PARA,"Paramount Global Cl B",12.9,0.08,+0.62%,13.12,12.77,8590200,2023-09-29
HAL,"Halliburton Company",40.5,-1.29,-3.09%,41.72,40.19,8529800,2023-09-29
LYG,"Lloyds Banking Group Plc ADR",2.13,-0.01,-0.47%,2.16,2.12,8500899,2023-09-29
NVTA,"Invitae Corp",0.6052,-0.0023,-0.38%,0.6329,0.6002,8473700,2023-09-29
LYFT,"Lyft Inc Cl A",10.54,0.03,+0.29%,10.84,10.4,8461000,2023-09-29
CCJ,"Cameco Corp",39.64,-1.51,-3.67%,41.22,39.52,8414600,2023-09-29
EZGO,"Ezgo Technologies Ltd",0.1426,0.0021,+1.49%,0.1494,0.136,8223700,2023-09-29
APRN,"Blue Apron Holdings Inc",12.88,7.39,+134.52%,12.89,12.79,8218300,2023-09-29
U,"Unity Software Inc",31.39,0.68,+2.21%,31.89,31.19,8208199,2023-09-29
LAC,"Lithium Americas Corp",17.01,-0.12,-0.70%,18.75,16.92,8150400,2023-09-29
NVAX,"Novavax Inc",7.24,0.08,+1.12%,7.68,7.16,8139700,2023-09-29
BKR,"Baker Hughes Company",35.32,-1.27,-3.47%,36.6,35.17,8094500,2023-09-29
SCHW,"The Charles Schwab Corp",54.9,0.35,+0.64%,55.81,54.64,8061700,2023-09-29
KSS,"Kohl's Corp",20.96,0.86,+4.28%,21.69,20.57,8019500,2023-09-29
BP,"BP Plc ADR",38.72,-0.71,-1.80%,39.47,38.69,8013700,2023-09-29
MRVL,"Marvell Technology Inc",54.13,0.13,+0.24%,55.43,54.01,7998700,2023-09-29
DAL,"Delta Air Lines Inc",37,0.05,+0.14%,37.48,36.74,7990300,2023-09-29
PR,"Permian Resources Corp",13.96,-0.11,-0.78%,14.13,13.89,7958700,2023-09-29
CVNA,"Carvana Company Cl A",41.98,0.74,+1.79%,42.84,40.94,7899000,2023-09-29
TFC,"Truist Financial Corp",28.61,0.38,+1.35%,29,28.34,7883900,2023-09-29
CPNG,"Coupang Inc Cl A",17,0.06,+0.35%,17.25,16.97,7747700,2023-09-29
SABR,"Sabre Corp",4.49,-0.04,-0.88%,4.75,4.45,7741400,2023-09-29
AA,"Alcoa Corp",29.06,0.92,+3.27%,29.83,28.97,7723000,2023-09-29
SBUX,"Starbucks Corp",91.27,0.19,+0.21%,93.06,90.83,7700200,2023-09-29
BEKE,"Ke Holdings Inc ADR",15.52,0.02,+0.13%,15.94,15.52,7697600,2023-09-29
JNJ,"Johnson & Johnson",155.75,-1.13,-0.72%,157.6,155.35,7680700,2023-09-29
HLN,"Haleon Plc",8.33,0.12,+1.46%,8.4,8.31,7678300,2023-09-29
FFIE,"Faraday Future Intelligent Electric Inc",1.33,0.03,+2.31%,1.42,1.24,7606900,2023-09-29
UAA,"Under Armour",6.85,0.3,+4.58%,6.98,6.77,7606200,2023-09-29
GGB,"Gerdau S.A. ADR",4.77,-0.04,-0.83%,4.85,4.76,7578200,2023-09-29
ONON,"On Holding Ag Cl A",27.82,1.59,+6.06%,29.05,27.52,7573400,2023-09-29
AGRI,"Agriforce Growing Systems Ltd",0.112,0.0025,+2.28%,0.12,0.105,7573200,2023-09-29
BITF,"Bitfarms Ltd",1.07,-0.02,-1.83%,1.135,1.06,7519200,2023-09-29
WMB,"Williams Companies",33.69,-0.72,-2.09%,34.46,33.5,7513500,2023-09-29
AUR,"Aurora Innovation Inc",2.35,-0.03,-1.26%,2.49,2.32,7503500,2023-09-29
BNOX,"Bionomics Ltd ADR",2.7,-0.67,-19.88%,3.56,2.7,7498400,2023-09-29
PDD,"Pdd Holdings Inc",98.07,2.46,+2.57%,99.55,97.6,7433000,2023-09-29
NYCB,"New York Community Bancorp",11.34,0.06,+0.53%,11.5,11.18,7406400,2023-09-29
BTCT,"Btc Digital Ltd",3.58,1.55,+76.35%,5.76,3.3,7400900,2023-09-30
CVX,"Chevron Corp",168.62,-1.97,-1.15%,170.5,167.82,7396000,2023-09-29
SYNH,"Syneos Health Inc",42.98,0.009999999999998,+0.02%,42.99,42.97,7386200,2023-09-28
TSM,"Taiwan Semiconductor ADR",86.9,0.49,+0.57%,88.03,86.69,7338200,2023-09-29
ORCL,"Oracle Corp",105.92,-0.23,-0.22%,107.36,105.38,7299100,2023-09-29
PTEN,"Patterson-Uti Energy",13.84,-0.72,-4.95%,14.59,13.7,7238100,2023-09-29
CCCS,"CCC Intelligent Solutions Hldgs Inc",13.35,0.94,+7.57%,13.41,12.59,7237600,2023-09-29
FGEN,"Fibrogen Inc CS",0.8629,-0.1087,-11.19%,0.9896,0.8412,7236200,2023-09-29
MRK,"Merck & Company",102.95,-1.35,-1.29%,104.68,102.71,7232700,2023-09-29
RSLS,"Reshape Lifesciences Inc",0.338,-0.102,-23.18%,0.512,0.21,7213300,2023-09-29
NXE,"Nexgen Energy Ltd",5.97,-0.27,-4.33%,6.34,5.96,7152300,2023-09-29
FCEL,"Fuelcell Energy Inc",1.28,0.03,+2.40%,1.31,1.23,7025500,2023-09-29
SHEL,"Royal Dutch Shell Plc ADR",64.38,-1.44,-2.19%,65.45,64.14,7010700,2023-09-29
GRTS,"Gritstone Bio Inc",1.72,0.16,+10.26%,1.8,1.4899,7010000,2023-09-29
VLD,"Velo3D Inc",1.56,0.31,+24.80%,1.6,1.34,6880400,2023-09-29
OPRA,"Opera Ltd ADR",11.27,-1.77,-13.57%,12.21,11.13,6874900,2023-09-29
EDIT,"Editas Medicine",7.8,0.88,+12.72%,8.58,7.45,6862400,2023-09-29
EXC,"Exelon Corp",37.79,-0.09,-0.24%,38.4,37.51,6834000,2023-09-29
MS,"Morgan Stanley",81.67,-0.52,-0.63%,83.09,81.03,6830400,2023-09-29
KOS,"Kosmos Energy Ltd",8.18,-0.03,-0.37%,8.25,8.04,6813200,2023-09-29
FLEX,"Flextronics Intl Ltd",26.98,0.39,+1.47%,27.18,26.61,6738100,2023-09-29
BCS,"Barclays Plc ADR",7.79,-0.04,-0.51%,7.89,7.77,6736700,2023-09-29
WULF,"Terawulf Inc",1.26,-0.05,-3.82%,1.36,1.21,6711400,2023-09-29
PG,"Procter & Gamble Company",145.86,-0.48,-0.33%,146.77,144.82,6683200,2023-09-29
UAL,"United Airlines Holdings Inc",42.3,-0.01,-0.02%,42.99,41.85,6662700,2023-09-29
AI,"C3.Ai Inc Cl A",25.52,0.36,+1.43%,26.22,25.17,6662500,2023-09-29
CHWY,"Chewy Inc",18.26,-0.01,-0.05%,18.63,18.13,6591700,2023-09-29
AMCR,"Amcor Plc",9.16,-0.01,-0.11%,9.25,9.1,6590800,2023-09-29
OKE,"Oneok Inc",63.43,-1.46,-2.25%,65,63.16,6587800,2023-09-29
NOVA,"Sunnova Energy International",10.47,0.11,+1.06%,10.8,10.16,6552200,2023-09-29
CLVT,"Clarivate Analytics Plc",6.71,-0.02,-0.30%,6.92,6.7,6516700,2023-09-29
UGP,"Ultrapar Participacoes S.A. ADR",3.67,0.01,+0.27%,3.74,3.65,6502100,2023-09-29
PPL,"PPL Corp",23.56,0.18,+0.77%,23.81,23.3,6497600,2023-09-29
SPCE,"Virgin Galactic Holdings Inc",1.8,0.08,+4.65%,1.815,1.72,6484700,2023-09-29
HUT,"Hut 8 Mining Corp",1.95,-0.04,-2.01%,2.065,1.92,6450100,2023-09-29
IBN,"Icici Bank Ltd ADR",23.12,0.21,+0.92%,23.17,23,6421700,2023-09-29
EPD,"Enterprise Products Partners LP",27.37,-0.05,-0.18%,27.53,27.28,6415600,2023-09-29
NI,"NiSource Inc",24.68,0.08,+0.33%,25.05,24.55,6384400,2023-09-29
DELL,"Dell Technologies Inc",68.9,0.4,+0.58%,69.6,68.55,6379800,2023-09-29
VTRS,"Viatris Inc",9.86,0.05,+0.51%,10.02,9.84,6367200,2023-09-29
RTX,"Rtx Corp",71.97,-0.03,-0.04%,72.52,71.56,6366200,2023-09-29
ROKU,"Roku Inc",70.59,2.51,+3.69%,70.93,68.48,6355800,2023-09-29
MDT,"Medtronic Inc",78.36,-0.33,-0.42%,80.31,77.84,6308800,2023-09-29
WMT,"Walmart Inc",159.93,-2.61,-1.61%,163.13,159.18,6280800,2023-09-29
COTY,"Coty Inc",10.97,-0.17,-1.53%,11.25,10.91,6228500,2023-09-29
ARR,"Armour Residential R",4.25,0.04,+0.95%,4.35,4.23,6204600,2023-09-29
REAL,"The Realreal Inc",2.11,-0.13,-5.80%,2.23,1.87,6195300,2023-09-29
PATH,"Uipath Inc Cl A",17.11,0.34,+2.03%,17.5,17.06,6168800,2023-09-29
DCFC,"Tritium Dcfc Ltd",0.3028,-0.0053,-1.72%,0.3798,0.2905,6119900,2023-09-29
BCLI,"Brainstorm Cell",0.2001,-0.0048,-2.34%,0.3,0.2,6069800,2023-09-29
V,"Visa Inc",230.01,-1.65,-0.71%,233.03,229.65,6045100,2023-09-29
FIS,"Fidelity National Information Services",55.27,-0.55,-0.99%,56.08,55.04,6005700,2023-09-29
HL,"Hecla Mining Company",3.91,0.01,+0.26%,4.12,3.83,5943100,2023-09-29
LUV,"Southwest Airlines Company",27.07,-0.15,-0.55%,27.51,26.9,5941600,2023-09-29
KDP,"Keurig Dr Pepper Inc",31.57,0.11,+0.35%,31.76,31.4,5919600,2023-09-29
D,"Dominion Energy Inc",44.67,0.53,+1.20%,45.19,44.21,5903900,2023-09-29
UPST,"Upstart Holdings Inc",28.54,0.95,+3.44%,29.61,28.14,5879400,2023-09-29
VOD,"Vodafone Grp Plc ADR",9.48,-0.07,-0.73%,9.57,9.43,5860500,2023-09-29
TAL,"Tal Education Group ADR",9.11,0.12,+1.33%,9.33,9.02,5831900,2023-09-29
CNHI,"CNH Industrial N.V.",12.1,-0.17,-1.39%,12.44,12.09,5828400,2023-09-29
MO,"Altria Group",42.05,-0.09,-0.21%,42.38,41.92,5796300,2023-09-29
HMY,"Harmony Gold Mining ADR",3.76,-0.12,-3.09%,3.86,3.69,5770500,2023-09-29
COIN,"Coinbase Global Inc Cl A",75.08,-0.08,-0.11%,77.5,74.57,5747200,2023-09-29
IBM,"International Business Machines",140.3,-1.28,-0.90%,142.13,139.61,5703900,2023-09-29
BXRX,"Baudax Bio Inc",0.3701,-0.0819,-18.12%,0.4262,0.364,5697300,2023-09-29
TGTX,"Tg Therapeuticscmn",8.36,-0.41,-4.68%,8.89,8.14,5645100,2023-09-29
KHC,"Kraft Heinz Company",33.64,-0.11,-0.33%,33.99,33.51,5633300,2023-09-29
AEO,"American Eagle Outfitters",16.61,0.21,+1.28%,16.76,16.39,5630300,2023-09-29
ABBV,"Abbvie Inc",149.06,-3.19,-2.10%,152.53,148.83,5581600,2023-09-29
TME,"Tencent Music Entertainment ADR",6.38,0.15,+2.41%,6.49,6.36,5566200,2023-09-29
MDLZ,"Mondelez Intl Inc",69.4,0.01,+0.01%,69.98,69.1,5562800,2023-09-29
ARRY,"Array Technologies Inc",22.19,-1.01,-4.35%,24.18,21.95,5484000,2023-09-29
SEEL,"Seelos Therapeutics Inc",0.184,0.0067,+3.78%,0.1959,0.1741,5455500,2023-09-29
PSNY,"Gores Guggenheim Inc Unit Cl A",2.64,0.09,+3.53%,2.7,2.54,5445700,2023-09-29
IPG,"Interpublic Group of Companies",28.66,-0.29,-1.00%,29.17,28.48,5443000,2023-09-29
TJX,"TJX Companies",88.88,-0.7,-0.78%,90.08,88.8,5420800,2023-09-29
AM,"Antero Midstream Corp",11.98,-0.24,-1.96%,12.3,11.98,5420700,2023-09-29
DXCM,"Dexcom Inc",93.3,-2.16,-2.26%,97.58,93.13,5417000,2023-09-29
WOOF,"Petco Health and Wellness Company Cl A",4.09,0.18,+4.60%,4.12,3.96,5402300,2023-09-29
HA,"Hawaiian Hlds Inc",6.33,-0.2,-3.06%,6.58,6.17,5400200,2023-09-29
TEVA,"Teva Pharmaceutical Industries ADR",10.2,-0.02,-0.20%,10.34,10.16,5398300,2023-09-29
PBR.A,"Petroleo Brasileiro S.A. Petrobras ADR",13.71,0.1,+0.73%,13.86,13.65,5395800,2023-09-29
SDC,"Smiledirectclub Inc",0.415,-0.0295,-6.64%,0.455,0.412,5391300,2023-09-29
CVS,"CVS Corp",69.82,-0.21,-0.30%,70.45,69.59,5365800,2023-09-29
CDE,"Coeur Mining Inc",2.22,0.02,+0.91%,2.3,2.16,5348200,2023-09-29
AG,"First Majestic Silver",5.13,0.06,+1.18%,5.33,5.05,5340400,2023-09-29
PM,"Philip Morris International Inc",92.58,-0.47,-0.51%,93.87,92.24,5330800,2023-09-29
GIS,"General Mills",63.99,-0.12,-0.19%,64.62,63.75,5329700,2023-09-29
COP,Conocophillips,119.8,-2.92,-2.38%,122.61,119.64,5308900,2023-09-29
O,"Realty Income Corp",49.94,0.32,+0.64%,50.53,49.63,5298500,2023-09-29
WU,"Western Union Company",13.18,-0.27,-2.01%,13.53,13.16,5286400,2023-09-29
ACHR,"Archer Aviation Inc",5.06,0.11,+2.22%,5.22,5.01,5245600,2023-09-29
EURN,"Euronav NV",16.43,-1.05,-6.01%,17.14,15.68,5204800,2023-09-29
EOSE,"Eos Energy Enterprises Inc",2.15,-0.09,-4.02%,2.32,2.09,5201800,2023-09-29
