Symbol,Name,Exchange,"Symbol Classification",Last,Volume,Time
BNS-T,"Bank of Nova Scotia",TSX,Common,56.5,"2,713,019",11/01/23
BN-T,"Brookfield Corporation",TSX,Common,42.33,"1,374,803",11/01/23
BMO-T,"Bank of Montreal",TSX,Common,104.81,"2,182,850",11/01/23
BLX-T,"Boralex Inc",TSX,Common,26.89,"373,629",11/01/23
BLDP-T,"Ballard Power Systems Inc",TSX,Common,4.57,"762,483",11/01/23
BIR-T,"Birchcliff Energy Ltd",TSX,Common,7.76,"726,695",11/01/23
BIPC-T,"Brookfield Infrastructure Corp",TSX,Common,39.41,"440,493",11/01/23
BHC-T,"Bausch Health Companies Inc",TSX,Common,9.83,"835,121",11/01/23
BCE-T,"BCE Inc",TSX,Common,52.52,"1,825,966",11/01/23
BBD-B-T,"Bombardier Inc Cl B Sv",TSX,Common,45.11,"585,266",11/01/23
BB-T,"Blackberry Ltd",TSX,Common,4.92,"890,738",11/01/23
BAM-T,"Brookfield Asset Management Ltd",TSX,Common,40.83,"1,455,620",11/01/23
ATZ-T,"Aritzia Inc",TSX,Common,21.02,"385,483",11/01/23
ATRL-T,"Snc-Lavalin Group Inc.",TSX,Common,38.58,"374,976",11/01/23
ATH-T,"Athabasca Oil Corp",TSX,Common,4.21,"5,523,828",11/01/23
ATD-T,"Alimentation Couche-Tard Inc.",TSX,Common,76.39,"866,266",11/01/23
ARX-T,"Arc Resources Ltd",TSX,Common,22.54,"1,726,992",11/01/23
AQN-T,"Algonquin Power and Utilities Corp",TSX,Common,7.32,"3,611,460",11/01/23
ALA-T,"Altagas Ltd",TSX,Common,26.3,"520,004",11/01/23
AGI-T,"Alamos Gold Inc Cls A",TSX,Common,17.23,"816,877",11/01/23
AEM-T,"Agnico Eagle Mines Ltd",TSX,Common,65.18,"1,210,268",11/01/23
AC-T,"Air Canada",TSX,Common,16.61,"2,069,875",11/01/23
ABX-T,"Barrick Gold Corp",TSX,Common,22.24,"2,497,875",11/01/23
AAV-T,"Advantage Oil & Gas Ltd",TSX,Common,10.29,"745,828",11/01/23
"Downloaded data provided by Barchart as of 11-01-2023 11:06pm CDT"
